source,rowid,brand,component_type,old_model,new_model
components.db,117902,FOJAN(富捷),厚膜电阻,FRC2512J334TS,FRC2512J334 TS
components.db,117923,FOJAN(富捷),厚膜电阻,FRP2512J331TS,FRP2512J331 TS
components.db,117983,FOJAN(富捷),厚膜电阻,FRC0805J752TS,FRC0805J752 TS
components.db,118026,FOJAN(富捷),厚膜电阻,FRC0603J512TS,FRC0603J512 TS
components.db,118084,FOJAN(富捷),厚膜电阻,FRC2512J202TS,FRC2512J202 TS
components.db,118131,FOJAN(富捷),厚膜电阻,FRC2512J180TS,FRC2512J180 TS
components.db,118133,FOJAN(富捷),厚膜电阻,FRC1210J201TS,FRC1210J201 TS
components.db,118138,FOJAN(富捷),厚膜电阻,FRC1206J106TS,FRC1206J106 TS
components.db,118141,FOJAN(富捷),厚膜电阻,FRC1206J243TS,FRC1206J243 TS
components.db,118206,FOJAN(富捷),厚膜电阻,FRD0805J152TS,FRD0805J152 TS
components.db,118214,FOJAN(富捷),厚膜电阻,FRQ0603J104TS,FRQ0603J104 TS
components.db,118248,FOJAN(富捷),厚膜电阻,FRC0603J111TS,FRC0603J111 TS
components.db,118348,FOJAN(富捷),厚膜电阻,FRC1206J100TS,FRC1206J100 TS
components.db,118359,FOJAN(富捷),厚膜电阻,FRQ0603J102TS,FRQ0603J102 TS
components.db,118398,FOJAN(富捷),厚膜电阻,FRC1206J185TS,FRC1206J185 TS
components.db,118407,FOJAN(富捷),厚膜电阻,FRL2010JR200TS,FRL2010JR200 TS
components.db,118449,FOJAN(富捷),厚膜电阻,FRC1812J105TS,FRC1812J105 TS
components.db,118468,FOJAN(富捷),厚膜电阻,FRC0402J103TS,FRC0402J103 TS
components.db,118474,FOJAN(富捷),厚膜电阻,FRC0805J103TS,FRC0805J103 TS
components.db,118476,FOJAN(富捷),厚膜电阻,FRD0805J472TS,FRD0805J472 TS
components.db,118490,FOJAN(富捷),厚膜电阻,FRC2512J221TS,FRC2512J221 TS
components.db,118493,FOJAN(富捷),厚膜电阻,FRC0402J680TS,FRC0402J680 TS
components.db,118514,FOJAN(富捷),厚膜电阻,FRC0603J622TS,FRC0603J622 TS
components.db,118536,FOJAN(富捷),厚膜电阻,FRC0603J2R2TS,FRC0603J2R2 TS
components.db,118609,FOJAN(富捷),厚膜电阻,FRC0603J511TS,FRC0603J511 TS
components.db,118619,FOJAN(富捷),厚膜电阻,FRL1812JR470TS,FRL1812JR470 TS
components.db,118658,FOJAN(富捷),厚膜电阻,FRC1206J513TS,FRC1206J513 TS
components.db,118694,FOJAN(富捷),厚膜电阻,FRC1206J204TS,FRC1206J204 TS
components.db,118721,FOJAN(富捷),厚膜电阻,FRC2010J821TS,FRC2010J821 TS
components.db,118772,FOJAN(富捷),厚膜电阻,FRC0402J752TS,FRC0402J752 TS
components.db,118773,FOJAN(富捷),厚膜电阻,FRC0603J824TS,FRC0603J824 TS
components.db,118775,FOJAN(富捷),厚膜电阻,FRC0603J754TS,FRC0603J754 TS
components.db,118796,FOJAN(富捷),厚膜电阻,FRC2512J332TS,FRC2512J332 TS
components.db,118831,FOJAN(富捷),厚膜电阻,FRC0402J202TS,FRC0402J202 TS
components.db,118838,FOJAN(富捷),厚膜电阻,FRC0402J102TS,FRC0402J102 TS
components.db,118841,FOJAN(富捷),厚膜电阻,FRC0603J915TS,FRC0603J915 TS
components.db,118842,FOJAN(富捷),厚膜电阻,FRC2010J5R1TS,FRC2010J5R1 TS
components.db,118867,FOJAN(富捷),厚膜电阻,FRL1210JR091TS,FRL1210JR091 TS
components.db,118877,FOJAN(富捷),厚膜电阻,FRL0805JR400TS,FRL0805JR400 TS
components.db,118916,FOJAN(富捷),厚膜电阻,FRC2512J151TS,FRC2512J151 TS
components.db,118927,FOJAN(富捷),厚膜电阻,FRC0603J203TS,FRC0603J203 TS
components.db,118936,FOJAN(富捷),厚膜电阻,FRC0805J7R5TS,FRC0805J7R5 TS
components.db,225795,FOJAN(富捷),厚膜电阻,FRC2010J101TS,FRC2010J101 TS
components.db,244593,FOJAN(富捷),厚膜电阻,FRL1206JR400TS,FRL1206JR400 TS
components.db,262829,FOJAN(富捷),厚膜电阻,FRC0603J755TS,FRC0603J755 TS
components.db,262830,FOJAN(富捷),厚膜电阻,FRC0805J680TS,FRC0805J680 TS
components.db,262831,FOJAN(富捷),厚膜电阻,FRC0402J162TS,FRC0402J162 TS
components.db,262834,FOJAN(富捷),厚膜电阻,FRC0402J271TS,FRC0402J271 TS
components.db,262836,FOJAN(富捷),厚膜电阻,FRC1206J1R3TS,FRC1206J1R3 TS
components.db,262841,FOJAN(富捷),厚膜电阻,FRC0603J9R1TS,FRC0603J9R1 TS
components.db,262842,FOJAN(富捷),厚膜电阻,FRC0603J151TS,FRC0603J151 TS
components.db,262844,FOJAN(富捷),厚膜电阻,FRC0603J683TS,FRC0603J683 TS
components.db,262845,FOJAN(富捷),厚膜电阻,FRC0603J515TS,FRC0603J515 TS
components.db,262846,FOJAN(富捷),厚膜电阻,FRC1206J3R9TS,FRC1206J3R9 TS
components.db,262847,FOJAN(富捷),厚膜电阻,FRC0603J245TS,FRC0603J245 TS
components.db,262850,FOJAN(富捷),厚膜电阻,FRC0402J331TS,FRC0402J331 TS
components.db,262852,FOJAN(富捷),厚膜电阻,FRC0402J303TS,FRC0402J303 TS
components.db,262853,FOJAN(富捷),厚膜电阻,FRC1206J155TS,FRC1206J155 TS
components.db,262854,FOJAN(富捷),厚膜电阻,FRC1206J395TS,FRC1206J395 TS
components.db,262857,FOJAN(富捷),厚膜电阻,FRC1206J4R7TS,FRC1206J4R7 TS
components.db,262858,FOJAN(富捷),厚膜电阻,FRC0402J392TS,FRC0402J392 TS
components.db,262860,FOJAN(富捷),厚膜电阻,FRC0603J272TS,FRC0603J272 TS
components.db,262861,FOJAN(富捷),厚膜电阻,FRC0603J363TS,FRC0603J363 TS
components.db,262863,FOJAN(富捷),厚膜电阻,FRC0402J2R4TS,FRC0402J2R4 TS
components.db,262864,FOJAN(富捷),厚膜电阻,FRC0402J360TS,FRC0402J360 TS
components.db,262866,FOJAN(富捷),厚膜电阻,FRC1206J1R2TS,FRC1206J1R2 TS
components.db,262867,FOJAN(富捷),厚膜电阻,FRC0603J475TS,FRC0603J475 TS
components.db,262868,FOJAN(富捷),厚膜电阻,FRC1206J360TS,FRC1206J360 TS
components.db,262869,FOJAN(富捷),厚膜电阻,FRC0805J563TS,FRC0805J563 TS
components.db,262870,FOJAN(富捷),厚膜电阻,FRC1206J245TS,FRC1206J245 TS
components.db,262871,FOJAN(富捷),厚膜电阻,FRC0805J820TS,FRC0805J820 TS
components.db,262872,FOJAN(富捷),厚膜电阻,FRC0603J474TS,FRC0603J474 TS
components.db,262874,FOJAN(富捷),厚膜电阻,FRC1206J101TS,FRC1206J101 TS
components.db,262878,FOJAN(富捷),厚膜电阻,FRC0603J180TS,FRC0603J180 TS
components.db,262879,FOJAN(富捷),厚膜电阻,FRC0603J432TS,FRC0603J432 TS
components.db,262880,FOJAN(富捷),厚膜电阻,FRC1206J331TS,FRC1206J331 TS
components.db,262881,FOJAN(富捷),厚膜电阻,FRC1206J124TS,FRC1206J124 TS
components.db,262883,FOJAN(富捷),厚膜电阻,FRC0402J394TS,FRC0402J394 TS
components.db,262884,FOJAN(富捷),厚膜电阻,FRC1206J270TS,FRC1206J270 TS
components.db,262886,FOJAN(富捷),厚膜电阻,FRC0402J393TS,FRC0402J393 TS
components.db,262887,FOJAN(富捷),厚膜电阻,FRC1206J8R2TS,FRC1206J8R2 TS
components.db,262888,FOJAN(富捷),厚膜电阻,FRC0603J623TS,FRC0603J623 TS
components.db,262889,FOJAN(富捷),厚膜电阻,FRC0402J302TS,FRC0402J302 TS
