品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明
Bourns,SRP1040VA,SRP1040VA,11 x 10 x 3.8 mm,,1,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: Yes,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: Yes,功率电感,SMT,11 x 10 x 3.8 mm,11 x 10 x 3.8 mm,1 68 3.5 27 | -55 to +180 | Yes | Yes,Active,11,10,3.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRU2011,SRU2011,2.8 x 2.8 x 1.1 mm,,1,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,2.8 x 2.8 x 1.1 mm,2.8 x 2.8 x 1.1 mm,A | 1 33 0.23 1.65 | -40 to +125 | No | N/A,Active,2.8,2.8,1.1,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRU2013,SRU2013,2.8 x 2.8 x 1.35 mm,,1,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,2.8 x 2.8 x 1.35 mm,2.8 x 2.8 x 1.35 mm,A | 1 47 0.25 2.2 | -40 to +125 | No | N/A,Active,2.8,2.8,1.35,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRU2016,SRU2016,2.8 x 2.8 x 1.65 mm,,1,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,2.8 x 2.8 x 1.65 mm,2.8 x 2.8 x 1.65 mm,A | 1 100 0.19 2.2 | -40 to +125 | No | N/A,Active,2.8,2.8,1.65,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRU3011,SRU3011,3.5 x 3.3 x 1.1 mm,,1.5,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,3.5 x 3.3 x 1.1 mm,3.5 x 3.3 x 1.1 mm,D | 1.5 10 0.4 1.1 | -40 to +125 | No | N/A,Active,3.5,3.3,1.1,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRU3014,SRU3014,3.5 x 3.3 x 1.4 mm,,1.2,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,3.5 x 3.3 x 1.4 mm,3.5 x 3.3 x 1.4 mm,1.2 22 0.32 1.85 | -40 to +125 | No | N/A,Active,3.5,3.3,1.4,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRU3017,SRU3017,3.5 x 3.3 x 1.8 mm,,2.2,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,3.5 x 3.3 x 1.8 mm,3.5 x 3.3 x 1.8 mm,2.2 47 0.36 1.7 | -40 to +125 | No | N/A,Active,3.5,3.3,1.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRU3028,SRU3028,3.5 x 3.3 x 2.8 mm,,10,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,3.5 x 3.3 x 2.8 mm,3.5 x 3.3 x 2.8 mm,10 100 0.19 0.72 | -40 to +125 | No | N/A,Active,3.5,3.3,2.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRR3818A,SRR3818A,3.8 x 3.8 x 1.8 mm,,1,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: Yes,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: Yes,功率电感,SMT,3.8 x 3.8 x 1.8 mm,3.8 x 3.8 x 1.8 mm,100 | 1 100 0.34 3.6 | -40 to +125 | Yes | Yes,Active,3.8,3.8,1.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRR3011,SRR3011,3.8 x 3.8 x 1.8 mm,,1.5,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,3.8 x 3.8 x 1.8 mm,3.8 x 3.8 x 1.8 mm,100 | 1.5 100 0.18 2.7 | -40 to +125 | No | N/A,Active,3.8,3.8,1.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRR4028,SRR4028,4.8 x 4.8 x 2.8 mm,,1.2,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: N/A,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,4.8 x 4.8 x 2.8 mm,4.8 x 4.8 x 2.8 mm,1.2 560 0.75 5.1 | -40 to +125 | N/A | N/A,Active,4.8,4.8,2.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRR4018,SRR4018,4.8 x 4.8 x 1.8 mm,,1,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,4.8 x 4.8 x 1.8 mm,4.8 x 4.8 x 1.8 mm,1 180 .25 3.2 | -40 to +125 | No | N/A,Active,4.8,4.8,1.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRR4818A,SRR4818A,4.8 x 4.8 x 1.8 mm,,1,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: Yes,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: Yes,功率电感,SMT,4.8 x 4.8 x 1.8 mm,4.8 x 4.8 x 1.8 mm,1 47 0.5 5 | -40 to +150 | Yes | Yes,Active,4.8,4.8,1.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRR4011,SRR4011,4.8 x 4.8 x 1.15 mm,,47,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: Yes,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: No,功率电感,SMT,4.8 x 4.8 x 1.15 mm,4.8 x 4.8 x 1.15 mm,100 | .47 150 0.28 4.8 | -40 to +125 | Yes | No,Active,4.8,4.8,1.15,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRR4828A,SRR4828A,4.8 x 4.8 x 2.8 mm,,1.2,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: Yes,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,4.8 x 4.8 x 2.8 mm,4.8 x 4.8 x 2.8 mm,220 | 1.2 220 0.2 1.8 | -40 to +150 | Yes | N/A,Active,4.8,4.8,2.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRR4528A,SRR4528A,5 x 5 x 2.8 mm,,1.2,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: Yes,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,5 x 5 x 2.8 mm,5 x 5 x 2.8 mm,3R0 | 1.2 390 0.3 1.75 | -40 to +125 | Yes | N/A,Active,5,5,2.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRU5011,SRU5011,5.2 x 5.2 x 1.1 mm,,1.5,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,5.2 x 5.2 x 1.1 mm,5.2 x 5.2 x 1.1 mm,220 | 1.5 100 0.32 2.8 | -40 to +125 | No | N/A,Active,5.2,5.2,1.1,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRU5016,SRU5016,5.2 x 5.2 x 1.6 mm,,1.8,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,5.2 x 5.2 x 1.6 mm,5.2 x 5.2 x 1.6 mm,350 | 1.8 100 0.47 3.5 | -40 to +125 | No | N/A,Active,5.2,5.2,1.6,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRU5018,SRU5018,5.2 x 5.2 x 1.8 mm,,1,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,5.2 x 5.2 x 1.8 mm,5.2 x 5.2 x 1.8 mm,470 | 1 100 0.13 3 | -40 to +125 | No | N/A,Active,5.2,5.2,1.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRU5028,SRU5028,5.2 x 5.2 x 2.8 mm,,1.2,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,5.2 x 5.2 x 2.8 mm,5.2 x 5.2 x 2.8 mm,680 | 1.2 100 0.23 3 | -40 to +125 | No | N/A,Active,5.2,5.2,2.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRR5028,SRR5028,5.8 x 5.8 x 2.8 mm,,2.6,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,5.8 x 5.8 x 2.8 mm,5.8 x 5.8 x 2.8 mm,2.6 680 0.1 2.8 | -40 to +125 | No | N/A,Active,5.8,5.8,2.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRR5018,SRR5018,5.8 x 5.8 x 1.8 mm,,1.2,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,5.8 x 5.8 x 1.8 mm,5.8 x 5.8 x 1.8 mm,1.2 220 0.1 2.2 | -40 to +125 | No | N/A,Active,5.8,5.8,1.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRR0604,SRR0604,6.5 x 6.5 x 4.8 mm,,1.5,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,6.5 x 6.5 x 4.8 mm,6.5 x 6.5 x 4.8 mm,1.5 2200 0.46 2.6 | -40 to +125 | No | N/A,Active,6.5,6.5,4.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRR0603,SRR0603,6.5 x 6.5 x 3.3 mm,,1.5,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,6.5 x 6.5 x 3.3 mm,6.5 x 6.5 x 3.3 mm,1.5 1000 0.6 3.2 | -40 to +125 | No | N/A,Active,6.5,6.5,3.3,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRU6011,SRU6011,6.5 x 6.2 x 1.1 mm,,1.4,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,6.5 x 6.2 x 1.1 mm,6.5 x 6.2 x 1.1 mm,100 | 1.4 68 0.5 3.6 | -40 to +125 | No | N/A,Active,6.5,6.2,1.1,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRU6013,SRU6013,6.5 x 6.2 x 1.4 mm,,1,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,6.5 x 6.2 x 1.4 mm,6.5 x 6.2 x 1.4 mm,100 | 1 68 0.42 4 | -40 to +125 | No | N/A,Active,6.5,6.2,1.4,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRU6018,SRU6018,6.5 x 6.2 x 1.8 mm,,1.2,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,6.5 x 6.2 x 1.8 mm,6.5 x 6.2 x 1.8 mm,100 | 1.2 100 0.02 0.12 | -55 to +125 | No | N/A,Active,6.5,6.2,1.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRU6025,SRU6025,6.5 x 6.2 x 2.5 mm,,1.2,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,6.5 x 6.2 x 2.5 mm,6.5 x 6.2 x 2.5 mm,100 | 1.2 220 0.02 3 | -55 to +125 | No | N/A,Active,6.5,6.2,2.5,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRE6603,SRE6603,6.6 x 4.45 x 2.92 mm,,1500,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: Yes,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,6.6 x 4.45 x 2.92 mm,6.6 x 4.45 x 2.92 mm,222 | 1500 10000 0.65 5 | -40 to +125 | Yes | N/A,Active,6.6,4.45,2.92,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRR6603,SRR6603,6.6 x 4.4 x 3 mm,,1,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,6.6 x 4.4 x 3 mm,6.6 x 4.4 x 3 mm,1 10000 0.65 3.5 | -40 to +125 | No | N/A,Active,6.6,4.4,3,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRR6040A,SRR6040A,6.7 x 6.7 x 4 mm,,1,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: Yes,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,6.7 x 6.7 x 4 mm,6.7 x 6.7 x 4 mm,3R0 | 1 100 0.15 6.2 | -40 to +125 | Yes | N/A,Active,6.7,6.7,4,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRR6038,SRR6038,6.8 x 6.8 x 3.8 mm,,3.3,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,6.8 x 6.8 x 3.8 mm,6.8 x 6.8 x 3.8 mm,3.3 100 0.25 3.5 | -40 to +125 | No | N/A,Active,6.8,6.8,3.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRR6028,SRR6028,6.8 x 6.8 x 2.8 mm,,1.5,UH,,,"Power Inductors - SRR, SRU & SRE Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,6.8 x 6.8 x 2.8 mm,6.8 x 6.8 x 2.8 mm,1.5 1000 0.15 2.65 | -40 to +125 | No | N/A,Active,6.8,6.8,2.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRR7032,SRR7032,7 x 7 x 3.2 mm,,2.2,UH,,,"Power Inductors - SRR & SRU Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,7 x 7 x 3.2 mm,7 x 7 x 3.2 mm,150 | 2.2 1000 0.15 2.65 | -40 to +125 | No | N/A,Active,7,7,3.2,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRR0745A,SRR0745A,8 x 8 x 2.8 mm,,1,UH,,,"Power Inductors - SRR & SRU Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,8 x 8 x 2.8 mm,8 x 8 x 2.8 mm,7.3 7.3. 4.5 • 10 1000 0.2 2.1 -40 to +125 Yes N/A SRU8028 220 | 1 100 0.75 7 | -40 to +125 | No | N/A,Active,8,8,2.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRU8043,SRU8043,8 x 8 x 4.3 mm,,2.2,UH,,,"Power Inductors - SRR & SRU Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,8 x 8 x 4.3 mm,8 x 8 x 4.3 mm,101 | 2.2 100 1 5.4 | -40 to +125 | No | N/A,Active,8,8,4.3,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRU8045A,SRU8045A,8 x 8 x 4.5 mm,,3.5,UH,,,"Power Inductors - SRR & SRU Series, SMD Shielded",AEC-Q200: Yes,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: Yes,功率电感,SMT,8 x 8 x 4.5 mm,8 x 8 x 4.5 mm,3 3 03 3 0 | 3.5 100 1 5 | -40 to +125 | Yes | Yes,Active,8,8,4.5,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRR0805,SRR0805,8 x 10.5 x 4.7 mm,,2.2,UH,,,"Power Inductors - SRR & SRU Series, SMD Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,8 x 10.5 x 4.7 mm,8 x 10.5 x 4.7 mm,2.2 1000 0.15 2.5 | -40 to +125 | No | N/A,Active,8,10.5,4.7,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
