品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明,_model_rule_authority,_resistance_ohm,输出频率,频率单位,频差（ppm）,电源电压,输出类型,占空比,频率,负载电容（pF）,驱动电平,_body_size
Abracon,AOTA-B160808S,AOTA-B160808S,,Metal Alloy,,,,,Mini Molded Inductors,Page: Abracon | Mini Molded Inductors,Table: 0 | sat_unit=A | dcr_unit=mΩ,Source: https://abracon.com/mini-molded-inductors,功率电感,SMT,AOTA-B160808S,1.6 x 0.8 x 0.8mm,Mini Molded Inductors | Inductance=0.47-2.2 µh | DCR=38-240 mΩ | Saturation Current=1.3-3.6 A | Temp Rise=1.1-3.3 A | Operating Temp=-40˚C ~ +125˚C | Size=1.6 x 0.8 x 0.8mm,Production,1.6,0.8,0.8,https://abracon.com/mini-molded-inductors,Abracon official product lineup,官方网页抽取,2026-04-19 19:15,Abracon | Mini Molded Inductors | table 0,,,,,,,-40˚C ~ +125˚C,,,,,,,,,38-240 mΩ,,0.47,uH,,1.3-3.6 A,,,Mini Molded Inductors,abracon_product_lineup,,,,,,,,,,,1.6 x 0.8 x 0.8mm
Abracon,AOTA-B201206S,AOTA-B201206S,,Metal Alloy,,,,,Mini Molded Inductors,Page: Abracon | Mini Molded Inductors,Table: 0 | sat_unit=A | dcr_unit=mΩ,Source: https://abracon.com/mini-molded-inductors,功率电感,SMT,AOTA-B201206S,2.0 x 1.2 x 0.65mm,Mini Molded Inductors | Inductance=0.47-2.2 µh | DCR=32-173 mΩ | Saturation Current=1.8-4.8 A | Temp Rise=1.8-4.3 A | Operating Temp=-40˚C ~ +125˚C | Size=2.0 x 1.2 x 0.65mm,Production,2,1.2,0.65,https://abracon.com/mini-molded-inductors,Abracon official product lineup,官方网页抽取,2026-04-19 19:15,Abracon | Mini Molded Inductors | table 0,,,,,,,-40˚C ~ +125˚C,,,,,,,,,32-173 mΩ,,0.47,uH,,1.8-4.8 A,,,Mini Molded Inductors,abracon_product_lineup,,,,,,,,,,,2.0 x 1.2 x 0.65mm
Abracon,AOTA-B201208S,AOTA-B201208S,,Metal Alloy,,,,,Mini Molded Inductors,Page: Abracon | Mini Molded Inductors,Table: 0 | sat_unit=A | dcr_unit=mΩ,Source: https://abracon.com/mini-molded-inductors,功率电感,SMT,AOTA-B201208S,2.0 x 1.2 x 0.8mm,Mini Molded Inductors | Inductance=0.11-2.2 µh | DCR=10-120 mΩ | Saturation Current=2.1-11 A | Temp Rise=2.0-6.5 A | Operating Temp=-40˚C ~ +125˚C | Size=2.0 x 1.2 x 0.8mm,Production,2,1.2,0.8,https://abracon.com/mini-molded-inductors,Abracon official product lineup,官方网页抽取,2026-04-19 19:15,Abracon | Mini Molded Inductors | table 0,,,,,,,-40˚C ~ +125˚C,,,,,,,,,10-120 mΩ,,0.11,uH,,2.1-11 A,,,Mini Molded Inductors,abracon_product_lineup,,,,,,,,,,,2.0 x 1.2 x 0.8mm
Abracon,AOTA-B201210S,AOTA-B201210S,,Metal Alloy,,,,,Mini Molded Inductors,Page: Abracon | Mini Molded Inductors,Table: 0 | sat_unit=A | dcr_unit=mΩ,Source: https://abracon.com/mini-molded-inductors,功率电感,SMT,AOTA-B201210S,2.0 x 1.2 x 1.0mm,Mini Molded Inductors | Inductance=0.11-2.2 µh | DCR=8-100 mΩ | Saturation Current=2.4-14.5 A | Temp Rise=2.2-7.7 A | Operating Temp=-40˚C ~ +125˚C | Size=2.0 x 1.2 x 1.0mm,Production,2,1.2,1,https://abracon.com/mini-molded-inductors,Abracon official product lineup,官方网页抽取,2026-04-19 19:15,Abracon | Mini Molded Inductors | table 0,,,,,,,-40˚C ~ +125˚C,,,,,,,,,8-100 mΩ,,0.11,uH,,2.4-14.5 A,,,Mini Molded Inductors,abracon_product_lineup,,,,,,,,,,,2.0 x 1.2 x 1.0mm
Abracon,AOTA-B201608S,AOTA-B201608S,,Metal Alloy,,,,,Mini Molded Inductors,Page: Abracon | Mini Molded Inductors,Table: 0 | sat_unit=A | dcr_unit=mΩ,Source: https://abracon.com/mini-molded-inductors,功率电感,SMT,AOTA-B201608S,2.0 x 1.6 x 0.8mm,Mini Molded Inductors | Inductance=0.24-2.2 µh | DCR=18-134 mΩ | Saturation Current=2.6-8.2 A | Temp Rise=2.0-6.2 A | Operating Temp=-40˚C ~ +125˚C | Size=2.0 x 1.6 x 0.8mm,Production,2,1.6,0.8,https://abracon.com/mini-molded-inductors,Abracon official product lineup,官方网页抽取,2026-04-19 19:15,Abracon | Mini Molded Inductors | table 0,,,,,,,-40˚C ~ +125˚C,,,,,,,,,18-134 mΩ,,0.24,uH,,2.6-8.2 A,,,Mini Molded Inductors,abracon_product_lineup,,,,,,,,,,,2.0 x 1.6 x 0.8mm
Abracon,AOTA-B201610S,AOTA-B201610S,,Metal Alloy,,,,,Mini Molded Inductors,Page: Abracon | Mini Molded Inductors,Table: 0 | sat_unit=A | dcr_unit=mΩ,Source: https://abracon.com/mini-molded-inductors,功率电感,SMT,AOTA-B201610S,2.0 x 1.6 x 1.0mm,Mini Molded Inductors | Inductance=0.24-4.7 µh | DCR=11-213 mΩ | Saturation Current=1.9-7.8 A | Temp Rise=1.5-5.6 A | Operating Temp=-40˚C ~ +125˚C | Size=2.0 x 1.6 x 1.0mm,Production,2,1.6,1,https://abracon.com/mini-molded-inductors,Abracon official product lineup,官方网页抽取,2026-04-19 19:15,Abracon | Mini Molded Inductors | table 0,,,,,,,-40˚C ~ +125˚C,,,,,,,,,11-213 mΩ,,0.24,uH,,1.9-7.8 A,,,Mini Molded Inductors,abracon_product_lineup,,,,,,,,,,,2.0 x 1.6 x 1.0mm
Abracon,AOTA-B252008S,AOTA-B252008S,,Metal Alloy,,,,,Mini Molded Inductors,Page: Abracon | Mini Molded Inductors,Table: 0 | sat_unit=A | dcr_unit=mΩ,Source: https://abracon.com/mini-molded-inductors,功率电感,SMT,AOTA-B252008S,2.5 x 2.0 x 0.8mm,Mini Molded Inductors | Inductance=1-10 µh | DCR=39-507 mΩ | Saturation Current=1.4-4.8 A | Temp Rise=1.1-3.8 A | Operating Temp=-40˚C ~ +125˚C | Size=2.5 x 2.0 x 0.8mm,Production,2.5,2,0.8,https://abracon.com/mini-molded-inductors,Abracon official product lineup,官方网页抽取,2026-04-19 19:15,Abracon | Mini Molded Inductors | table 0,,,,,,,-40˚C ~ +125˚C,,,,,,,,,39-507 mΩ,,1,uH,,1.4-4.8 A,,,Mini Molded Inductors,abracon_product_lineup,,,,,,,,,,,2.5 x 2.0 x 0.8mm
Abracon,AOTA-B252010S,AOTA-B252010S,,Metal Alloy,,,,,Mini Molded Inductors,Page: Abracon | Mini Molded Inductors,Table: 0 | sat_unit=A | dcr_unit=mΩ,Source: https://abracon.com/mini-molded-inductors,功率电感,SMT,AOTA-B252010S,2.5 x 2.0 x 1.0mm,Mini Molded Inductors | Inductance=0.33-10 µh | DCR=16-420 mΩ | Saturation Current=1.7-8.5 A | Temp Rise=1.4-5.5 A | Operating Temp=-40˚C ~ +125˚C | Size=2.5 x 2.0 x 1.0mm,Production,2.5,2,1,https://abracon.com/mini-molded-inductors,Abracon official product lineup,官方网页抽取,2026-04-19 19:15,Abracon | Mini Molded Inductors | table 0,,,,,,,-40˚C ~ +125˚C,,,,,,,,,16-420 mΩ,,0.33,uH,,1.7-8.5 A,,,Mini Molded Inductors,abracon_product_lineup,,,,,,,,,,,2.5 x 2.0 x 1.0mm
Abracon,AOTA-B201612Q,AOTA-B201612Q,,Metal Alloy,,,,,Automotive Mini Molded Inductors,Page: Abracon | Automotive Mini Molded Inductors,Table: 0,Source: https://abracon.com/automotive-mini-molded-inductors,功率电感,SMT,AOTA-B201612Q,2.0 x 1.6 x 1.2 mm,Automotive Mini Molded Inductors | Inductance (µH)=0.10 - 2.2 | DCR (mΩ)=5 - 315 | Operating Temperature (°C)=-40 ~ 150 | Size (L x W x H) mm=2.0 x 1.6 x 1.2 mm,Check Inventory,2,1.6,1.2,https://abracon.com/automotive-mini-molded-inductors,Abracon official product lineup,官方网页抽取,2026-04-19 19:15,Abracon | Automotive Mini Molded Inductors | table 0,,,,,,,-40 ~ 150,,,,,,,,1.2,5 - 315,,0.1,,,,,,Automotive Mini Molded Inductors,abracon_product_lineup,,,,,,,,,,,2.0 x 1.6 x 1.2 mm
Abracon,AOTA-C201612Q,AOTA-C201612Q,,Metal Alloy,,,,,Automotive Mini Molded Inductors,Page: Abracon | Automotive Mini Molded Inductors,Table: 0,Source: https://abracon.com/automotive-mini-molded-inductors,功率电感,SMT,AOTA-C201612Q,2.0 x 1.6 x 1.2 mm,Automotive Mini Molded Inductors | Inductance (µH)=3.3 | DCR (mΩ)=165 | Operating Temperature (°C)=-55 ~ 155 | Size (L x W x H) mm=2.0 x 1.6 x 1.2 mm,Check Inventory,2,1.6,1.2,https://abracon.com/automotive-mini-molded-inductors,Abracon official product lineup,官方网页抽取,2026-04-19 19:15,Abracon | Automotive Mini Molded Inductors | table 0,,,,,,,-55 ~ 155,,,,,,,,2.4,165,,3.3,,,,,,Automotive Mini Molded Inductors,abracon_product_lineup,,,,,,,,,,,2.0 x 1.6 x 1.2 mm
