品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明,_model_rule_authority,_resistance_ohm,输出频率,频率单位,频差（ppm）,电源电压,输出类型,占空比,频率,负载电容（pF）,驱动电平,_body_size
KEMET,SCF76X,SCF76X,,Nanocrystalline,,,,,Common Mode Choke,"Body: As power electronics continue to scale in current and complexity, EMI suppression is no longer a secondary design concern. Three-phase systems used in industrial automation, HVAC, ",Features: Nanocrystalline core technology High current capability up to 110 A Three-phase common mode choke design Wide operating temperature range Low DC resistance Certified material reliability,YAGEO resource intro | groups=Common Mode Chokes - Power,共模电感,SMT,SCF76X,,L=0.35~0.77mH | Irms=65~110A | DCR=0.27~0.97mΩ | V=800V | -40°C - +130°C | Nanocrystalline core technology High current capability up to 110 A Three-phase common mode choke design Wide operating temperature range Low DC resistance Certified material reliability,Production,,,,https://yageogroup.com/browse/products?search=inductor,YAGEO Group resource library new-product introduction,官方资源库抽取,2026-04-19 15:35,SCF76X Common Mode Chokes,,,,,,,,,,,,,,,110,0.97,,0.77,mH,,,,,SCF76X Common Mode Chokes,https://yageogroup.com/api/graphql?version=1&direct=true,,,,,,,,,,,
PULSE,APCA7045,APCA7045,,Ferrite,,,,,Power Inductor,"Body: As power density continues to increase in automotive, industrial, and communication systems, designers are under constant pressure to deliver higher current capability, stable indu",Features: Automotive Grade High inductance High operating voltage High operating temperature No thermal aging,YAGEO resource intro | groups=Power,功率电感,SMT,APCA7045,6X6X4.5 ~ 12x12x8 mm,L=1~1000uH | Irms=0.46~6.5A | V=1000V | -55°C to +150°C | 6X6X4.5 ~ 12x12x8 mm | Automotive Grade High inductance High operating voltage High operating temperature No thermal aging,Production,,,,https://yageogroup.com/browse/products?search=inductor,YAGEO Group resource library new-product introduction,官方资源库抽取,2026-04-19 15:35,APCA Series Power Inductors,,,,,,,,,,,,,,,6.5,,,1000,uH,,,Magnetically Shielded Type,,APCA Series Power Inductors,https://yageogroup.com/api/graphql?version=1&direct=true,,,,,,,,,,,6X6X4.5 ~ 12x12x8 mm
