品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,工作温度,官网链接,数据来源,数据状态,校验时间,校验备注,额定电流,DCR,电感值,电感单位,电感误差,饱和电流,屏蔽类型,系列说明,_model_rule_authority,_body_size
Bourns(伯恩斯),SRN3015C,SRN3015C,3015,,,,,,Power Inductor,MDS: SRN3015C,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,3015,3 x 3 x 1.3 mm,L=0.24~100uH | Irms=0.4~5A | Case=3015 | 3 x 3 x 1.3 mm | Semi-shielded Type,Production,3,3,1.3,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,5,,0.24,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,3 x 3 x 1.3 mm
Bourns(伯恩斯),SRN3015TA,SRN3015TA,3015,,,,,,Power Inductor,MDS: SRN3015TA,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,3015,3 x 3 x 1.5 mm,L=1~47uH | Irms=0.4~2.2A | Case=3015 | 3 x 3 x 1.5 mm | Semi-shielded Type,Production,3,3,1.5,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,2.2,,1,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,3 x 3 x 1.5 mm
Bourns(伯恩斯),SRN3030HA,SRN3030HA,3030,,,,,,Power Inductor,MDS: SRN3030HA,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,3030,3 x 3 x 3 mm,L=1~100uH | Irms=0.25~2.6A | Case=3030 | 3 x 3 x 3 mm | Semi-shielded Type,Production,3,3,3,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,2.6,,1,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,3 x 3 x 3 mm
Bourns(伯恩斯),SRN4012BTA,SRN4012BTA,4012,,,,,,Power Inductor,MDS: SRN4012BTA-330M~470M SRN4012BTA-R47M~220M,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,4012,4 x 4 x 1 mm,L=0.47~47uH | Irms=0.65~5.5A | Case=4012 | 4 x 4 x 1 mm | Semi-shielded Type,Production,4,4,1,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,5.5,,0.47,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,4 x 4 x 1 mm
Bourns(伯恩斯),SRN4012T,SRN4012T,4012,,,,,,Power Inductor,MDS: SRN4012T,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,4012,4 x 4 x 1.2 mm,L=0.47~22uH | Irms=0.62~3.2A | Case=4012 | 4 x 4 x 1.2 mm | Semi-shielded Type,Production,4,4,1.2,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,3.2,,0.47,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,4 x 4 x 1.2 mm
Bourns(伯恩斯),SRN4012TA,SRN4012TA,4012,,,,,,Power Inductor,MDS: SRN4012TA,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,4012,4 x 4 x 1.2 mm,L=0.47~22uH | Irms=0.62~3.2A | Case=4012 | 4 x 4 x 1.2 mm | Semi-shielded Type,Production,4,4,1.2,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,3.2,,0.47,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,4 x 4 x 1.2 mm
Bourns(伯恩斯),SRN4018,SRN4018,4018,,,,,,Power Inductor,MDS: SRN4018,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,4018,4 x 4 x 1.8 mm,L=0.82~330uH | Irms=0.2~4A | Case=4018 | 4 x 4 x 1.8 mm | Semi-shielded Type,Production,4,4,1.8,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,4,,0.82,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,4 x 4 x 1.8 mm
Bourns(伯恩斯),SRN4018BTA,SRN4018BTA,4018,,,,,,Power Inductor,MDS: SRN4018BTA-151M~221M SRN4018BTA-R47M~101M,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,4018,4 x 4 x 1.6 mm,L=0.47~220uH | Irms=0.17~5.5A | Case=4018 | 4 x 4 x 1.6 mm | Semi-shielded Type,Production,4,4,1.6,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,5.5,,0.47,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,4 x 4 x 1.6 mm
Bourns(伯恩斯),SRN4018TA,SRN4018TA,4018,,,,,,Power Inductor,MDS: SRN4018TA,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,4018,4 x 4 x 1.8 mm,L=1~220uH | Irms=0.3~3.7A | Case=4018 | 4 x 4 x 1.8 mm | Semi-shielded Type,Production,4,4,1.8,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,3.7,,1,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,4 x 4 x 1.8 mm
Bourns(伯恩斯),SRN4026,SRN4026,4026,,,,,,Power Inductor,MDS: SRN4026,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,4026,4 x 4 x 2.5 mm,L=1~220uH | Irms=0.2~3A | Case=4026 | 4 x 4 x 2.5 mm | Semi-shielded Type,Production,4,4,2.5,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,3,,1,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,4 x 4 x 2.5 mm
Bourns(伯恩斯),SRN4030HA,SRN4030HA,4030,,,,,,Power Inductor,MDS: SRN4030HA,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,4030,4 x 4 x 3 mm,L=1~100uH | Irms=0.55~5.5A | Case=4030 | 4 x 4 x 3 mm | Semi-shielded Type,Production,4,4,3,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,5.5,,1,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,4 x 4 x 3 mm
Bourns(伯恩斯),SRN5020TA,SRN5020TA,5020,,,,,,Power Inductor,MDS: SRN5020TA,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,5020,5 x 5 x 1.8 mm,L=1~47uH | Irms=0.7~4.1A | Case=5020 | 5 x 5 x 1.8 mm | Semi-shielded Type,Production,5,5,1.8,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,4.1,,1,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,5 x 5 x 1.8 mm
Bourns(伯恩斯),SRN5030HA,SRN5030HA,5030,,,,,,Power Inductor,MDS: SRN5030HA,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,5030,5 x 5 x 3 mm,L=0.47~100uH | Irms=0.45~7A | Case=5030 | 5 x 5 x 3 mm | Semi-shielded Type,Production,5,5,3,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,7,,0.47,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,5 x 5 x 3 mm
Bourns(伯恩斯),SRN5040,SRN5040,5040,,,,,,Power Inductor,MDS: SRN5040,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,5040,5 x 5 x 4 mm,L=1.5~47uH | Irms=0.9~3.6A | Case=5040 | 5 x 5 x 4 mm | Semi-shielded Type,Production,5,5,4,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,3.6,,1.5,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,5 x 5 x 4 mm
Bourns(伯恩斯),SRN5040TA,SRN5040TA,5040,,,,,,Power Inductor,MDS: SRN5040TA,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,5040,4.95 x 4.95 x 3.8/3.9 mm,L=0.6~100uH | Irms=0.72~8A | Case=5040 | 4.95 x 4.95 x 3.8/3.9 mm | Semi-shielded Type,Production,4.95,4.95,3.8,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,8,,0.6,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,4.95 x 4.95 x 3.8/3.9 mm
Bourns(伯恩斯),SRN5040TA-P,SRN5040TA-P,5040,,,,,,Power Inductor,MDS: SRN5040TA-P,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,5040,4.95 x 4.95 x 3.8/3.9 mm,L=0.6~100uH | Irms=0.72~8A | Case=5040 | 4.95 x 4.95 x 3.8/3.9 mm | Semi-shielded Type,Production,4.95,4.95,3.8,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,8,,0.6,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,4.95 x 4.95 x 3.8/3.9 mm
Bourns(伯恩斯),SRN6028C,SRN6028C,6028,,,,,,Power Inductor,MDS: SRN6028C,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,6028,6 x 6 x 2.6 mm,L=0.9~120uH | Irms=0.68~7.8A | Case=6028 | 6 x 6 x 2.6 mm | Semi-shielded Type,Production,6,6,2.6,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,7.8,,0.9,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,6 x 6 x 2.6 mm
Bourns(伯恩斯),SRN6045,SRN6045,6045,,,,,,Power Inductor,MDS: SRN6045,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,6045,6 x 6 x 4.5 mm,L=1~220uH | Irms=0.6~4.2A | Case=6045 | 6 x 6 x 4.5 mm | Semi-shielded Type,Production,6,6,4.5,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,4.2,,1,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,6 x 6 x 4.5 mm
Bourns(伯恩斯),SRN6045HA,SRN6045HA,6045,,,,,,Power Inductor,MDS: SRN6045HA,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,6045,6 x 6 x 4.7 mm,Case=6045 | 6 x 6 x 4.7 mm | Semi-shielded Type,Production,6,6,4.7,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,,,,,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,6 x 6 x 4.7 mm
Bourns(伯恩斯),SRN6045TA,SRN6045TA,6045,,,,,,Power Inductor,MDS: SRN6045TA,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,6045,6 x 6 x 4.2 mm,L=1~220uH | Irms=0.6~8A | Case=6045 | 6 x 6 x 4.2 mm | Semi-shielded Type,Production,6,6,4.2,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,8,,1,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,6 x 6 x 4.2 mm
Bourns(伯恩斯),SRN8040,SRN8040,8040,,,,,,Power Inductor,MDS: SRN8040 (470 - 101),Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,8040,8.15 x 7.9 x 4 mm,L=0.5~100uH | Irms=1~10A | Case=8040 | 8.15 x 7.9 x 4 mm | Semi-shielded Type,Production,8.15,7.9,4,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,10,,0.5,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,8.15 x 7.9 x 4 mm
Bourns(伯恩斯),SRN8040HA,SRN8040HA,8040,,,,,,Power Inductor,MDS: SRN8040HA,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,8040,7.9 x 8.15 x 4.2 mm,L=0.5~100uH | Irms=1~10A | Case=8040 | 7.9 x 8.15 x 4.2 mm | Semi-shielded Type,Production,7.9,8.15,4.2,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,10,,0.5,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,7.9 x 8.15 x 4.2 mm
Bourns(伯恩斯),SRN8040TA,SRN8040TA,8040,,,,,,Power Inductor,MDS: SRN8040TA,Design Files: Downloads,Family: Semi-Shielded,功率电感,SMT,8040,8 x 8 x 3.7 mm,L=0.5~330uH | Irms=0.7~12A | Case=8040 | 8 x 8 x 3.7 mm | Semi-shielded Type,Production,8,8,3.7,,https://bourns.com/products/magnetic-products/power-inductors-smd-semi-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns Semi-Shielded family page,12,,0.5,ΜH,,,Semi-shielded Type,Bourns Semi-Shielded power inductor family table,bourns_power_inductors_smd_semi_shielded,8 x 8 x 3.7 mm
Bourns(伯恩斯),SDE1006A,SDE1006A,1006,,,,,,Power Inductor,MDS: SDE1006A,Design Files: Downloads,Family: AEC-Q200 Compliant,功率电感,SMT,1006,10 x 9 x 5.4 mm,L=1.5~820uH | Irms=0.45~7.2A | Case=1006 | 10 x 9 x 5.4 mm | Unshielded Type,Production,10,9,5.4,,https://bourns.com/products/magnetic-products/power-inductors-aec-q200-compliant,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns AEC-Q200 Compliant family page,7.2,,1.5,ΜH,,,Unshielded Type,Bourns AEC-Q200 Compliant power inductor family table,bourns_power_inductors_aec_q200_compliant,10 x 9 x 5.4 mm
Bourns(伯恩斯),SRF0703A,SRF0703A,0703,,,,,,Power Inductor,MDS: SRF0703A,Design Files: Downloads,Family: AEC-Q200 Compliant,功率电感,SMT,0703,7.6 x 7.6 x 3.4 mm,L=8.2~1335uH | Irms=0.211~2.19A | Case=0703 | 7.6 x 7.6 x 3.4 mm | Magnetically Shielded Type,Production,7.6,7.6,3.4,,https://bourns.com/products/magnetic-products/power-inductors-aec-q200-compliant,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns AEC-Q200 Compliant family page,2.19,,8.2,ΜH,,,Magnetically Shielded Type,Bourns AEC-Q200 Compliant power inductor family table,bourns_power_inductors_aec_q200_compliant,7.6 x 7.6 x 3.4 mm
Bourns(伯恩斯),SRF0703HA,SRF0703HA,0703,,,,,,Power Inductor,MDS: SRF0703HA,Design Files: Downloads,Family: AEC-Q200 Compliant,功率电感,SMT,0703,7.6 x 7.6 x 3.4 mm,L=4.7~1000uH | Irms=0.128~2.7A | Case=0703 | 7.6 x 7.6 x 3.4 mm | Magnetically Shielded Type,Production,7.6,7.6,3.4,,https://bourns.com/products/magnetic-products/power-inductors-aec-q200-compliant,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns AEC-Q200 Compliant family page,2.7,,4.7,ΜH,,,Magnetically Shielded Type,Bourns AEC-Q200 Compliant power inductor family table,bourns_power_inductors_aec_q200_compliant,7.6 x 7.6 x 3.4 mm
Bourns(伯恩斯),SRF0905A,SRF0905A,0905,,,,,,Power Inductor,MDS: SRF0905A,Design Files: Downloads,Family: AEC-Q200 Compliant,功率电感,SMT,0905,9.2 x 6 x 5 mm,L=10~6500uH | Irms=0.3~1.6A | Case=0905 | 9.2 x 6 x 5 mm | Magnetically Shielded Type,Production,9.2,6,5,,https://bourns.com/products/magnetic-products/power-inductors-aec-q200-compliant,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns AEC-Q200 Compliant family page,1.6,,10,ΜH,,,Magnetically Shielded Type,Bourns AEC-Q200 Compliant power inductor family table,bourns_power_inductors_aec_q200_compliant,9.2 x 6 x 5 mm
Bourns(伯恩斯),SRF1010DA,SRF1010DA,1010,,,,,,Power Inductor,MDS: SRF1010DA,Design Files: Downloads,Family: AEC-Q200 Compliant,功率电感,SMT,1010,12 x 9.6 x 11.3 mm,L=0.43~15uH | Irms=4.6~27A | Case=1010 | 12 x 9.6 x 11.3 mm | Magnetically Shielded Type,Production,12,9.6,11.3,,https://bourns.com/products/magnetic-products/power-inductors-aec-q200-compliant,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns AEC-Q200 Compliant family page,27,,0.43,ΜH,,,Magnetically Shielded Type,Bourns AEC-Q200 Compliant power inductor family table,bourns_power_inductors_aec_q200_compliant,12 x 9.6 x 11.3 mm
Bourns(伯恩斯),SRF1260A,SRF1260A,1260,,,,,,Power Inductor,MDS: SRF1260A,Design Files: Downloads,Family: AEC-Q200 Compliant,功率电感,SMT,1260,12.5 x 12.5 x 6 mm,L=0.47~4000uH | Irms=0.283~8.8A | Case=1260 | 12.5 x 12.5 x 6 mm | Magnetically Shielded Type,Production,12.5,12.5,6,,https://bourns.com/products/magnetic-products/power-inductors-aec-q200-compliant,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns AEC-Q200 Compliant family page,8.8,,0.47,ΜH,,,Magnetically Shielded Type,Bourns AEC-Q200 Compliant power inductor family table,bourns_power_inductors_aec_q200_compliant,12.5 x 12.5 x 6 mm
Bourns(伯恩斯),SRF1280A,SRF1280A,1280,,,,,,Power Inductor,MDS: SRF1280A,Design Files: Downloads,Family: AEC-Q200 Compliant,功率电感,SMT,1280,12.5 x 12.5 x 8 mm,L=0.47~4000uH | Irms=0.307~17.9A | Case=1280 | 12.5 x 12.5 x 8 mm | Magnetically Shielded Type,Production,12.5,12.5,8,,https://bourns.com/products/magnetic-products/power-inductors-aec-q200-compliant,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns AEC-Q200 Compliant family page,17.9,,0.47,ΜH,,,Magnetically Shielded Type,Bourns AEC-Q200 Compliant power inductor family table,bourns_power_inductors_aec_q200_compliant,12.5 x 12.5 x 8 mm
Bourns(伯恩斯),SRR0735A,SRR0735A,0735,,,,,,Power Inductor,MDS: SRR0735A,Design Files: Downloads,Family: AEC-Q200 Compliant,功率电感,SMT,0735,7.3 x 7.3 x 3.5 mm,L=10~680uH | Irms=0.21~2.1A | Case=0735 | 7.3 x 7.3 x 3.5 mm | Magnetically Shielded Type,Production,7.3,7.3,3.5,,https://bourns.com/products/magnetic-products/power-inductors-aec-q200-compliant,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns AEC-Q200 Compliant family page,2.1,,10,ΜH,,,Magnetically Shielded Type,Bourns AEC-Q200 Compliant power inductor family table,bourns_power_inductors_aec_q200_compliant,7.3 x 7.3 x 3.5 mm
Bourns(伯恩斯),SRR0735HA,SRR0735HA,0735,,,,,,Power Inductor,MDS: SRR0735HA,Design Files: Downloads,Family: AEC-Q200 Compliant,功率电感,SMT,0735,7.3 x 7.3 x 3.5 mm,L=10~1000uH | Irms=0.17~2.1A | Case=0735 | 7.3 x 7.3 x 3.5 mm | Magnetically Shielded Type,Production,7.3,7.3,3.5,,https://bourns.com/products/magnetic-products/power-inductors-aec-q200-compliant,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns AEC-Q200 Compliant family page,2.1,,10,ΜH,,,Magnetically Shielded Type,Bourns AEC-Q200 Compliant power inductor family table,bourns_power_inductors_aec_q200_compliant,7.3 x 7.3 x 3.5 mm
Bourns(伯恩斯),SRR0745A,SRR0745A,0745,,,,,,Power Inductor,MDS: SRR0745A,Design Files: Downloads,Family: AEC-Q200 Compliant,功率电感,SMT,0745,7.3 x 7.3 x 4.5 mm,L=10~1000uH | Irms=0.2~2.1A | Case=0745 | 7.3 x 7.3 x 4.5 mm | Magnetically Shielded Type,Production,7.3,7.3,4.5,,https://bourns.com/products/magnetic-products/power-inductors-aec-q200-compliant,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns AEC-Q200 Compliant family page,2.1,,10,ΜH,,,Magnetically Shielded Type,Bourns AEC-Q200 Compliant power inductor family table,bourns_power_inductors_aec_q200_compliant,7.3 x 7.3 x 4.5 mm
Bourns(伯恩斯),SRR0745HA,SRR0745HA,0745,,,,,,Power Inductor,MDS: SRR0745HA,Design Files: Downloads,Family: AEC-Q200 Compliant,功率电感,SMT,0745,7.3 x 7.3 x 4.5 mm,L=10~1000uH | Irms=0.2~2.1A | Case=0745 | 7.3 x 7.3 x 4.5 mm | Magnetically Shielded Type,Production,7.3,7.3,4.5,,https://bourns.com/products/magnetic-products/power-inductors-aec-q200-compliant,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns AEC-Q200 Compliant family page,2.1,,10,ΜH,,,Magnetically Shielded Type,Bourns AEC-Q200 Compliant power inductor family table,bourns_power_inductors_aec_q200_compliant,7.3 x 7.3 x 4.5 mm
Bourns(伯恩斯),SRR1050A,SRR1050A,1050,,,,,,Power Inductor,MDS: SRR1050A,Design Files: Downloads,Family: AEC-Q200 Compliant,功率电感,SMT,1050,10.2 x 10 x 4.8 mm,L=0.68~330uH | Irms=0.73~9.5A | Case=1050 | 10.2 x 10 x 4.8 mm | Magnetically Shielded Type,Production,10.2,10,4.8,,https://bourns.com/products/magnetic-products/power-inductors-aec-q200-compliant,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns AEC-Q200 Compliant family page,9.5,,0.68,ΜH,,,Magnetically Shielded Type,Bourns AEC-Q200 Compliant power inductor family table,bourns_power_inductors_aec_q200_compliant,10.2 x 10 x 4.8 mm
Bourns(伯恩斯),SRR1050HA,SRR1050HA,1050,,,,,,Power Inductor,MDS: SRR1050HA,Design Files: Downloads,Family: AEC-Q200 Compliant,功率电感,SMT,1050,10 x 10.2 x 4.8 mm,Case=1050 | 10 x 10.2 x 4.8 mm | Magnetically Shielded Type,Production,10,10.2,4.8,,https://bourns.com/products/magnetic-products/power-inductors-aec-q200-compliant,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns AEC-Q200 Compliant family page,,,,,,,Magnetically Shielded Type,Bourns AEC-Q200 Compliant power inductor family table,bourns_power_inductors_aec_q200_compliant,10 x 10.2 x 4.8 mm
Bourns(伯恩斯),SRR1210A,SRR1210A,1210,,,,,,Power Inductor,MDS: SRR1210A,Design Files: Downloads,Family: AEC-Q200 Compliant,功率电感,SMT,1210,12 x 12 x 10 mm,L=1~1000uH | Irms=0.75~11A | Case=1210 | 12 x 12 x 10 mm | Magnetically Shielded Type,Production,12,12,10,,https://bourns.com/products/magnetic-products/power-inductors-aec-q200-compliant,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns AEC-Q200 Compliant family page,11,,1,ΜH,,,Magnetically Shielded Type,Bourns AEC-Q200 Compliant power inductor family table,bourns_power_inductors_aec_q200_compliant,12 x 12 x 10 mm
Bourns(伯恩斯),SRR1260A,SRR1260A,1260,,,,,,Power Inductor,MDS: SRR1260A,Design Files: Downloads,Family: AEC-Q200 Compliant,功率电感,SMT,1260,12.5 x 12.5 x 6 mm,L=1~1000uH | Irms=0.68~9.4A | Case=1260 | 12.5 x 12.5 x 6 mm | Magnetically Shielded Type,Production,12.5,12.5,6,,https://bourns.com/products/magnetic-products/power-inductors-aec-q200-compliant,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns AEC-Q200 Compliant family page,9.4,,1,ΜH,,,Magnetically Shielded Type,Bourns AEC-Q200 Compliant power inductor family table,bourns_power_inductors_aec_q200_compliant,12.5 x 12.5 x 6 mm
Bourns(伯恩斯),SRR1280A,SRR1280A,1280,,,,,,Power Inductor,MDS: SRR1280A,Design Files: Downloads,Family: AEC-Q200 Compliant,功率电感,SMT,1280,12.5 x 12.5 x 7.5 mm,L=4.7~1000uH | Irms=0.68~8.2A | Case=1280 | 12.5 x 12.5 x 7.5 mm | Magnetically Shielded Type,Production,12.5,12.5,7.5,,https://bourns.com/products/magnetic-products/power-inductors-aec-q200-compliant,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns AEC-Q200 Compliant family page,8.2,,4.7,ΜH,,,Magnetically Shielded Type,Bourns AEC-Q200 Compliant power inductor family table,bourns_power_inductors_aec_q200_compliant,12.5 x 12.5 x 7.5 mm
Bourns(伯恩斯),SRR3818A,SRR3818A,3818,,,,,,Power Inductor,MDS: SRR3818A (1R0-150),Design Files: Downloads,Family: AEC-Q200 Compliant,功率电感,SMT,3818,3.8 x 3.8 x 1.8 mm,L=1~100uH | Irms=0.34~3.6A | Case=3818 | 3.8 x 3.8 x 1.8 mm | Magnetically Shielded Type,Production,3.8,3.8,1.8,,https://bourns.com/products/magnetic-products/power-inductors-aec-q200-compliant,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns AEC-Q200 Compliant family page,3.6,,1,ΜH,,,Magnetically Shielded Type,Bourns AEC-Q200 Compliant power inductor family table,bourns_power_inductors_aec_q200_compliant,3.8 x 3.8 x 1.8 mm
Bourns(伯恩斯),SRR4528A,SRR4528A,4528,,,,,,Power Inductor,MDS: SRR4528A,Design Files: Downloads,Family: AEC-Q200 Compliant,功率电感,SMT,4528,5 x 5 x 2.8 mm,L=1.2~390uH | Irms=0.28~4.82A | Case=4528 | 5 x 5 x 2.8 mm | Magnetically Shielded Type,Production,5,5,2.8,,https://bourns.com/products/magnetic-products/power-inductors-aec-q200-compliant,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns AEC-Q200 Compliant family page,4.82,,1.2,ΜH,,,Magnetically Shielded Type,Bourns AEC-Q200 Compliant power inductor family table,bourns_power_inductors_aec_q200_compliant,5 x 5 x 2.8 mm
