品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明,_model_rule_authority,_resistance_ohm,输出频率,频率单位,频差（ppm）,电源电压,输出类型,占空比,频率,负载电容（pF）,驱动电平,_body_size
东电化TDK,MLZ2012M100WT000,MLZ,0805,,10.0,UH,20,,Power Inductor,10uH ±20% | Rated current (temperature rise) 350mA | DC resistance 470mΩ typ / 611mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLZ2012M100WT000,TDK official product page | MLZ2012 family | 2.00 x 1.25 x 1.25 mm,功率电感,SMT,2012/0805,2.00 x 1.25 x 1.25 mm,10uH ±20% 0805 350mA DCR 470mΩ typ / 611mΩ max,Active,2.00,1.25,1.25,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLZ2012M100WT000,TDK official product page,官方网页抽取,2026-04-18,TDK MLZ2012 MLZ2012M100WT000 official page,,,,,,,,,,,,,,,350mA,470mΩ typ / 611mΩ max,,10,UH,20,,,,TDK MLZ2012 power inductor series,tdk_mlz2012_official,,,,,,,,,,,
东电化TDK,MLZ2012M100HT000,MLZ,0805,,10.0,UH,20,,Power Inductor,10uH ±20% | Rated current (temperature rise) 300mA | Rated current (L change) 200mA | DC resistance 680mΩ typ / 884mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLZ2012M100HT000,TDK official product page | MLZ2012 family | 2.00 x 1.25 x 1.25 mm,功率电感,SMT,2012/0805,2.00 x 1.25 x 1.25 mm,10uH ±20% 0805 300mA DCR 680mΩ typ / 884mΩ max,Active,2.00,1.25,1.25,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLZ2012M100HT000,TDK official product page,官方网页抽取,2026-04-18,TDK MLZ2012 MLZ2012M100HT000 official page,,,,,,,,,,,,,,,300mA,680mΩ typ / 884mΩ max,,10,UH,20,,,,TDK MLZ2012 power inductor series,tdk_mlz2012_official,,,,,,,,,,,
东电化TDK,MLZ2012N100LT000,MLZ,0805,,10.0,UH,20,,Power Inductor,10uH ±20% | Rated current (temperature rise) 500mA | Rated current (L change) 110mA | DC resistance 300mΩ typ / 390mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLZ2012N100LT000,TDK official product page | MLZ2012 family | 2.00 x 1.25 x 1.25 mm,功率电感,SMT,2012/0805,2.00 x 1.25 x 1.25 mm,10uH ±20% 0805 500mA DCR 300mΩ typ / 390mΩ max,Active,2.00,1.25,1.25,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLZ2012N100LT000,TDK official product page,官方网页抽取,2026-04-18,TDK MLZ2012 MLZ2012N100LT000 official page,,,,,,,,,,,,,,,500mA,300mΩ typ / 390mΩ max,,10,UH,20,,,,TDK MLZ2012 power inductor series,tdk_mlz2012_official,,,,,,,,,,,
Wurth Elektronik,74479777310A,WE-PMI,0805,,10.0,UH,20,,Low RDC Power Inductor,L=10uH | IR=600mA | IR2=900mA | ISAT=120mA typ,https://www.we-online.com/components/products/datasheet/74479777310A.pdf,WE-PMI official datasheet | Low RDC | DCR 300mΩ typ / 375mΩ max | f_res 35MHz,功率电感,SMT,WE-PMI,2.00 x 1.20 x 1.25 mm,10uH ±20% 0805 600mA DCR 300mΩ typ / 375mΩ max,Active,2.00,1.20,1.25,https://www.we-online.com/components/products/datasheet/74479777310A.pdf,Wurth official datasheet,官方网页抽取,2026-04-18,WE-PMI Power Multilayer Inductor order code 74479777310A,,,,,,,,,,,,,,,600mA,300mΩ typ / 375mΩ max,,10,UH,20,120mA,,,Wurth WE-PMI Power Multilayer Inductor,wurth_we_pmi_official,,,,,,,,,,,
