品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明,_model_rule_authority,_resistance_ohm,输出频率,频率单位,频差（ppm）,电源电压,输出类型,占空比,频率,负载电容（pF）,驱动电平,_body_size
Coilcraft,MSS7341-683ML,MSS7341,,Ferrite,,,,,Shielded Power Inductors,Shielded Power Inductors – MSS7341,Values: 68 | 20 | 0.236 | 0.250 | 9.6 | 0.62 | 0.73 | 0.80 | 1.00 | 1.35,PDF: https://www.coilcraft.com/pdfs/mss7341.pdf | page=2,功率电感,SMT,MSS7341,,Coilcraft MSS7341 | 68 µH | DCR 0.236 / 0.250 | Isat 0.62/0.73/0.80 A | Irms 1.00 A / 1.35 A | Ferrite,Production,,,,https://www.coilcraft.com/pdfs/mss7341.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=MSS7341 | page=2,,,,,,,,,,,,,,,1.00,0.236 / 0.250,,68,µH,,0.62,,,Shielded Power Inductors – MSS7341,coilcraft_mss7341,,,,,,,,,,,MSS7341
Coilcraft,MSS7341-823ML,MSS7341,,Ferrite,,,,,Shielded Power Inductors,Shielded Power Inductors – MSS7341,Values: 82 | 20 | 0.257 | 0.290 | 8.5 | 0.57 | 0.66 | 0.72 | 1.00 | 1.25,PDF: https://www.coilcraft.com/pdfs/mss7341.pdf | page=2,功率电感,SMT,MSS7341,,Coilcraft MSS7341 | 82 µH | DCR 0.257 / 0.290 | Isat 0.57/0.66/0.72 A | Irms 1.00 A / 1.25 A | Ferrite,Production,,,,https://www.coilcraft.com/pdfs/mss7341.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=MSS7341 | page=2,,,,,,,,,,,,,,,1.00,0.257 / 0.290,,82,µH,,0.57,,,Shielded Power Inductors – MSS7341,coilcraft_mss7341,,,,,,,,,,,MSS7341
Coilcraft,MSS7341-104ML,MSS7341,,Ferrite,,,,,Shielded Power Inductors,Shielded Power Inductors – MSS7341,Values: 100 | 20 | 0.286 | 0.310 | 7.2 | 0.54 | 0.64 | 0.71 | 0.90 | 1.15,PDF: https://www.coilcraft.com/pdfs/mss7341.pdf | page=2,功率电感,SMT,MSS7341,,Coilcraft MSS7341 | 100 µH | DCR 0.286 / 0.310 | Isat 0.54/0.64/0.71 A | Irms 0.90 A / 1.15 A | Ferrite,Production,,,,https://www.coilcraft.com/pdfs/mss7341.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=MSS7341 | page=2,,,,,,,,,,,,,,,0.90,0.286 / 0.310,,100,µH,,0.54,,,Shielded Power Inductors – MSS7341,coilcraft_mss7341,,,,,,,,,,,MSS7341
Coilcraft,MSS7341-154ML,MSS7341,,Ferrite,,,,,Shielded Power Inductors,Shielded Power Inductors – MSS7341,Values: 150 | 20 | 0.438 | 0.475 | 6.0 | 0.45 | 0.53 | 0.58 | 0.86 | 1.14,PDF: https://www.coilcraft.com/pdfs/mss7341.pdf | page=2,功率电感,SMT,MSS7341,,Coilcraft MSS7341 | 150 µH | DCR 0.438 / 0.475 | Isat 0.45/0.53/0.58 A | Irms 0.86 A / 1.14 A | Ferrite,Production,,,,https://www.coilcraft.com/pdfs/mss7341.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=MSS7341 | page=2,,,,,,,,,,,,,,,0.86,0.438 / 0.475,,150,µH,,0.45,,,Shielded Power Inductors – MSS7341,coilcraft_mss7341,,,,,,,,,,,MSS7341
Coilcraft,MSS7341-224ML,MSS7341,,Ferrite,,,,,Shielded Power Inductors,Shielded Power Inductors – MSS7341,Values: 220 | 20 | 0.660 | 0.710 | 5.0 | 0.35 | 0.41 | 0.47 | 0.57 | 0.78,PDF: https://www.coilcraft.com/pdfs/mss7341.pdf | page=2,功率电感,SMT,MSS7341,,Coilcraft MSS7341 | 220 µH | DCR 0.660 / 0.710 | Isat 0.35/0.41/0.47 A | Irms 0.57 A / 0.78 A | Ferrite,Production,,,,https://www.coilcraft.com/pdfs/mss7341.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=MSS7341 | page=2,,,,,,,,,,,,,,,0.57,0.660 / 0.710,,220,µH,,0.35,,,Shielded Power Inductors – MSS7341,coilcraft_mss7341,,,,,,,,,,,MSS7341
Coilcraft,MSS7341-474ML,MSS7341,,Ferrite,,,,,Shielded Power Inductors,Shielded Power Inductors – MSS7341,Values: 470 | 20 | 1.21 | 1.45 | 3.0 | 0.24 | 0.28 | 0.32 | 0.43 | 0.57,PDF: https://www.coilcraft.com/pdfs/mss7341.pdf | page=2,功率电感,SMT,MSS7341,,Coilcraft MSS7341 | 470 µH | DCR 1.21 / 1.45 | Isat 0.24/0.28/0.32 A | Irms 0.43 A / 0.57 A | Ferrite,Production,,,,https://www.coilcraft.com/pdfs/mss7341.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=MSS7341 | page=2,,,,,,,,,,,,,,,0.43,1.21 / 1.45,,470,µH,,0.24,,,Shielded Power Inductors – MSS7341,coilcraft_mss7341,,,,,,,,,,,MSS7341
Coilcraft,MSS7341-684KL,MSS7341,,Ferrite,,,,,Shielded Power Inductors,Shielded Power Inductors – MSS7341,Values: 680 | 10 | 1.85 | 1.98 | 2.5 | 0.22 | 0.27 | 0.29 | 0.42 | 0.56,PDF: https://www.coilcraft.com/pdfs/mss7341.pdf | page=2,功率电感,SMT,MSS7341,,Coilcraft MSS7341 | 680 µH | DCR 1.85 / 1.98 | Isat 0.22/0.27/0.29 A | Irms 0.42 A / 0.56 A | Ferrite,Production,,,,https://www.coilcraft.com/pdfs/mss7341.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=MSS7341 | page=2,,,,,,,,,,,,,,,0.42,1.85 / 1.98,,680,µH,,0.22,,,Shielded Power Inductors – MSS7341,coilcraft_mss7341,,,,,,,,,,,MSS7341
Coilcraft,SER2009-301ML,SER2000,,Ferrite,,,,,Shielded Power Inductors,Shielded Power Inductors – SER2000 Series,"Values: 0.30 | 0.630 | 0.740 | 550 | 100 | 41 | 54 | 8,64",PDF: https://www.coilcraft.com/pdfs/ser2000.pdf | page=2,功率电感,SMT,SER2000,,"Coilcraft SER2000 | 0.30 µH | DCR 0.630 / 0.740 | Isat 100 A | Irms 41 A / 54 A | Height 8,64 mm | Ferrite",Production,,,"8,64",https://www.coilcraft.com/pdfs/ser2000.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=SER2000 | page=2,,,,,,,,,,,,,,,41,0.630 / 0.740,,0.30,µH,,100,,,Shielded Power Inductors – SER2000 Series,coilcraft_ser2000,,,,,,,,,,,SER2000
Coilcraft,SER2010-301ML,SER2000,,Ferrite,,,,,Shielded Power Inductors,Shielded Power Inductors – SER2000 Series,"Values: 0.30 | 0.900 | 1.00 | 182 | 100 | 36 | 45 | 9,40",PDF: https://www.coilcraft.com/pdfs/ser2000.pdf | page=2,功率电感,SMT,SER2000,,"Coilcraft SER2000 | 0.30 µH | DCR 0.900 / 1.00 | Isat 100 A | Irms 36 A / 45 A | Height 9,40 mm | Ferrite",Production,,,"9,40",https://www.coilcraft.com/pdfs/ser2000.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=SER2000 | page=2,,,,,,,,,,,,,,,36,0.900 / 1.00,,0.30,µH,,100,,,Shielded Power Inductors – SER2000 Series,coilcraft_ser2000,,,,,,,,,,,SER2000
Coilcraft,SER2009-501ML,SER2000,,Ferrite,,,,,Shielded Power Inductors,Shielded Power Inductors – SER2000 Series,"Values: 0.50 | 0.630 | 0.740 | 544 | 60 | 41 | 54 | 8,64",PDF: https://www.coilcraft.com/pdfs/ser2000.pdf | page=2,功率电感,SMT,SER2000,,"Coilcraft SER2000 | 0.50 µH | DCR 0.630 / 0.740 | Isat 60 A | Irms 41 A / 54 A | Height 8,64 mm | Ferrite",Production,,,"8,64",https://www.coilcraft.com/pdfs/ser2000.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=SER2000 | page=2,,,,,,,,,,,,,,,41,0.630 / 0.740,,0.50,µH,,60,,,Shielded Power Inductors – SER2000 Series,coilcraft_ser2000,,,,,,,,,,,SER2000
